job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_073016,47652.9,Germany,US_East,5,10.6,95.0,0.6948888888887935,False
j_127753,48160.6,Japan,US_East,5,3.6,172.0,0.2359999999999046,False
j_073013,48894.3,Germany,US_East,4,12.5,95.0,0.8194444444444444,False
j_073009,48996.0,Germany,France,2,2029.5,12.0,10.885,False
j_000047,49023.2,US_West,France,1,2801.7,146.0,15.182555555555538,False
j_127750,49097.7,Japan,US_West,3,127.7,109.0,7.839361111110932,False
j_073021,49119.1,Germany,US_East,5,3.8,95.0,0.2491111111113019,False
j_109525,49138.3,India,France,4,68.0,137.0,0.35888888888888887,False
j_073020,49140.8,Germany,France,5,5.6,12.0,0.029555555555547876,False
j_000004,49203.4,US_West,US_West,1,4698.9,0.0,279.7045194572223,False
j_036502,49295.0,US_East,US_West,5,10.6,74.0,0.6507222222221329,False
j_000033,49316.5,US_West,US_West,4,15.9,0.0,0.9760833333334227,False
j_036527,49329.9,US_East,US_West,5,4.7,74.0,0.28852777777759914,False
j_109549,49567.9,India,France,1,8127.8,137.0,45.89672222222223,False
j_054751,50200.7,France,France,4,14.4,0.0,0.07600000000000769,False
j_054773,50247.9,France,US_East,4,29.3,90.0,1.9207777777779687,False
j_127752,51407.9,Japan,US_West,4,17.8,109.0,1.0482223211112824,False
j_054754,51807.3,France,US_West,5,11.5,146.0,0.6772222861111111,False
j_036504,51831.7,US_East,France,1,1116.2,90.0,6.201111111111095,False
j_091264,52423.1,Korea,US_West,1,18831.1,134.0,756.8383976494445,False
j_054763,52563.1,France,France,4,90.8,0.0,0.5044444444444606,False
j_018266,52741.3,US_Central,US_West,5,3.0,39.0,0.17666668333333335,False
j_091266,53021.6,Korea,France,5,2.6,238.0,0.01444444444443636,False
j_036503,53099.8,US_East,France,3,219.2,90.0,1.2177777777777616,False
j_091293,53373.8,Korea,US_West,2,4646.6,134.0,256.3781145899999,False
j_127766,53434.4,Japan,France,1,10146.8,228.0,55.0482222222222,False
j_054759,53480.9,France,France,5,7.6,0.0,0.04222222222221414,False
j_127769,53562.7,Japan,France,1,4536.3,228.0,26.06305555555557,False
j_091274,53594.8,Korea,US_West,3,257.7,134.0,15.175668098333162,False
j_000038,53830.0,US_West,US_West,1,21600.0,0.0,769.1861120555556,False
j_036509,54071.6,US_East,France,5,13.8,90.0,0.08050000000001697,False
j_091257,54079.9,Korea,US_West,1,7926.2,134.0,391.446361111111,False
j_073049,54081.6,Germany,France,4,46.3,12.0,0.27008333333335033,False
j_054796,54329.5,France,US_West,3,108.0,146.0,6.0,False
j_109546,54624.8,India,US_West,3,345.8,225.0,19.211111111111272,False
j_073010,55332.3,Germany,France,1,1459.1,12.0,8.511416666666658,False
j_109541,55503.5,India,US_West,3,89.5,225.0,4.972222222222222,False
j_073041,55645.6,Germany,US_West,1,8809.7,153.0,392.226027777778,False
j_018250,55989.1,US_Central,France,5,7.7,113.0,0.04491666666664969,False
j_073035,56322.0,Germany,US_West,1,2943.2,153.0,148.24677777777762,False
j_018252,56330.3,US_Central,US_West,4,16.4,39.0,0.9111111111111919,False
j_073046,56853.5,Germany,France,4,20.1,12.0,0.11724999999999151,False
j_073014,56932.5,Germany,France,3,79.2,12.0,0.46199999999998304,False
j_091272,57309.3,Korea,France,4,17.4,238.0,0.10150000000000849,False
j_054780,57404.6,France,US_West,4,92.3,146.0,5.12777777777794,False
j_036541,58186.1,US_East,France,4,5.9,90.0,0.031138888888896567,False
j_018272,58252.0,US_Central,France,1,8938.7,113.0,46.1764722222222,False
j_073037,58654.7,Germany,US_West,4,7.9,153.0,0.3664722222222897,False
j_091288,58746.6,Korea,France,5,4.7,238.0,0.024805555555540194,False
j_127768,58833.3,Japan,US_East,1,3548.1,172.0,242.77950656333323,False
j_091280,59244.1,Korea,France,1,3608.1,238.0,18.58380555555555,False
j_036544,59601.5,US_East,France,5,2.3,90.0,0.01213888888890425,False
j_018297,59691.7,US_Central,US_West,1,3134.1,39.0,128.22619444444442,False
j_091282,59724.0,Korea,US_East,1,6901.7,193.0,475.2890477777776,False
j_000049,59755.9,US_West,France,4,133.2,146.0,0.7029999999999846,False
j_036521,59820.0,US_East,France,2,5867.7,90.0,29.968416666666652,False
j_091262,59838.9,Korea,US_West,1,5053.4,134.0,194.67816666666667,False
j_091278,60069.7,Korea,US_West,1,10677.8,134.0,337.16461111111124,False
j_109520,60092.0,India,US_West,4,37.6,225.0,1.7442222222221546,False
j_036516,60139.5,US_East,US_West,4,51.8,74.0,2.4029444444445796,False
j_091299,60424.6,Korea,France,1,453.6,238.0,2.393999999999992,False
j_054750,60435.5,France,France,5,8.6,0.0,0.04538888888888121,False
j_127778,61125.3,Japan,US_East,1,1195.9,172.0,83.23556178444454,False
j_036519,61622.3,US_East,France,3,474.3,90.0,2.3715000000000144,False
j_018285,61664.4,US_Central,Germany,4,24.9,125.0,2.4969166666668126,False
j_000035,61798.3,US_West,US_East,5,5.5,74.0,0.38347225277777774,False
j_000014,61822.6,US_West,France,5,2.5,146.0,0.0125,False
j_073012,61843.7,Germany,France,5,9.6,12.0,0.04799999999999272,False
j_127770,61972.8,Japan,Germany,5,3.9,235.0,0.3910833333334793,False
j_018275,62213.6,US_Central,US_West,4,4.1,39.0,0.14691666666661451,False
j_073022,62321.4,Germany,US_East,3,15.6,95.0,1.0876667533332318,False
j_036524,62491.8,US_East,US_East,5,6.4,0.0,0.44622225777787927,False
j_036538,62635.6,US_East,France,4,17.2,90.0,0.08599999999998545,False
j_018263,62813.5,US_Central,France,5,7.0,113.0,0.035,False
j_091281,63176.8,Korea,Germany,2,6506.7,244.0,662.251474444444,False
j_036512,63231.4,US_East,US_West,4,35.0,74.0,1.2541666666666667,False
j_054794,63237.3,France,US_East,2,10826.8,90.0,748.1620286816669,False
j_127762,63284.3,Japan,Germany,5,6.3,235.0,0.6317500000002918,False
j_036518,63381.8,US_East,Germany,5,9.2,95.0,0.9225555555552637,False
j_073029,63430.9,Germany,US_West,1,1370.1,153.0,49.08691666666662,False
j_000039,63643.9,US_West,US_East,5,2.9,74.0,0.202194460555657,False
j_000030,63658.8,US_West,US_East,1,2126.1,74.0,146.59492300666707,False
j_018284,63698.3,US_Central,US_West,5,2.3,39.0,0.08241666666677096,False
j_127758,63839.6,Japan,Germany,5,8.9,235.0,0.8924722222223681,False
j_000045,63888.6,US_West,France,3,193.5,146.0,0.9675,False
j_127773,63998.3,Japan,US_East,1,3391.5,172.0,232.14658778722224,False
j_000048,64125.9,US_West,US_West,5,3.6,0.0,0.12899999999994785,False
j_018254,64186.5,US_Central,US_East,1,3798.5,38.0,259.5315311861111,False
j_018260,64255.5,US_Central,France,5,17.8,113.0,0.08900000000001455,False
j_018279,64275.8,US_Central,Germany,5,4.0,125.0,0.4011111111111111,False
j_018261,64351.4,US_Central,US_East,4,36.0,38.0,2.5100002,False
j_018289,64501.8,US_Central,France,1,11316.2,113.0,56.45988888888888,False
j_000024,64546.2,US_West,Germany,3,207.8,153.0,20.837722222222514,False
j_127757,64616.7,Japan,Germany,1,9692.0,235.0,1013.7727244444444,False
j_127777,64908.3,Japan,US_East,1,1857.8,172.0,126.4336111111113,False
j_018264,65129.5,US_Central,US_West,1,12882.0,39.0,308.17833333333334,False
j_000003,65244.1,US_West,France,5,8.5,146.0,0.04486111111111111,False
j_127772,65408.7,Japan,France,2,286.9,228.0,1.5141944444444138,False
j_018293,65901.7,US_Central,US_East,2,3473.2,38.0,237.18297763833314,False
